32138, "filepath", artist's co-living space, Latoya Williams's room
32148, "filepath", artist's co-living space, Latoya Williams's bathroom
32158, "filepath", artist's co-living space, Rajiv Patel's room
32168, "filepath", artist's co-living space, Rajiv Patel's bathroom
32178, "filepath", artist's co-living space, Hailey Johnson's room
32188, "filepath", artist's co-living space, Hailey Johnson's bathroom
32198, "filepath", artist's co-living space, Francisco Lopez's room
32139, "filepath", artist's co-living space, Francisco Lopez's bathroom
32149, "filepath", artist's co-living space, Hailey Johnson's room
32159, "filepath", artist's co-living space, Hailey Johnson's bathroom
32179, "filepath", artist's co-living space, common room
32189, "filepath", artist's co-living space, kitchen
32199, "filepath", Arthur Burton's apartment, main room
32140, "filepath", Arthur Burton's apartment, bathroom
32150, "filepath", Ryan Park's apartment, main room
32160, "filepath", Ryan Park's apartment, bathroom
32170, "filepath", Isabella Rodriguez's apartment, main room
32180, "filepath", Isabella Rodriguez's apartment, bathroom
32190, "filepath", Giorgio Rossi's apartment, main room
32200, "filepath", Giorgio Rossi's apartment, bathroom
32141, "filepath", Carlos Gomez's apartment, main room
32151, "filepath", Carlos Gomez's apartment, bathroom
32161, "filepath", The Rose and Crown Pub, pub
32171, "filepath", Hobbs Cafe, cafe
32181, "filepath", Oak Hill College, classroom
32191, "filepath", Oak Hill College, library
32201, "filepath", Oak Hill College, hallway
32142, "filepath", Johnson Park, park
32152, "filepath", Harvey Oak Supply Store, supply store
32162, "filepath", The Willows Market and Pharmacy, store
32193, "filepath", Adam Smith's house, main room
32203, "filepath", Adam Smith's house, bathroom
32174, "filepath", Yuriko Yamamoto's house, main room
32184, "filepath", Yuriko Yamamoto's house, bathroom
32194, "filepath", Moore family's house, main room
32204, "filepath", Moore family's house, bathroom
32172, "filepath", Dorm for Oak Hill College, Klaus Mueller's room
32182, "filepath", Dorm for Oak Hill College, Maria Lopez's room
32192, "filepath", Dorm for Oak Hill College, Ayesha Khan's room
32202, "filepath", Dorm for Oak Hill College, Wolfgang Schulz's room
32143, "filepath", Dorm for Oak Hill College, man's bathroom
32153, "filepath", Dorm for Oak Hill College, woman's bathroom
32163, "filepath", Dorm for Oak Hill College, common room
32173, "filepath", Dorm for Oak Hill College, kitchen
32183, "filepath", Dorm for Oak Hill College, garden
32205, "filepath", Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room
32215, "filepath", Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room
32225, "filepath", Tamara Taylor and Carmen Ortiz's house, common room
32235, "filepath", Tamara Taylor and Carmen Ortiz's house, kitchen
32245, "filepath", Tamara Taylor and Carmen Ortiz's house, bathroom
32255, "filepath", Tamara Taylor and Carmen Ortiz's house, garden
32265, "filepath", Moreno family's house, Tom and Jane Moreno's bedroom
32275, "filepath", Moreno family's house, empty bedroom
32206, "filepath", Moreno family's house, common room
32216, "filepath", Moreno family's house, kitchen
32226, "filepath", Moreno family's house, bathroom
32236, "filepath", Moreno family's house, garden
32246, "filepath", Lin family's house, Mei and John Lin's bedroom
32256, "filepath", Lin family's house, Eddy Lin's bedroom
32266, "filepath", Lin family's house, common room
32276, "filepath", Lin family's house, kitchen
32207, "filepath", Lin family's house, bathroom
32217, "filepath", Lin family's house, garden
