32135, artist's co-living space
32145, Arthur Burton's apartment
32155, Ryan Park's apartment 
32165, Isabella Rodriguez's apartment
32175, Giorgio Rossi's apartment
32185, Carlos Gomez's apartment
32195, The Rose and Crown Pub
32136, Hobbs Cafe
32146, Oak Hill College
32156, Johnson Park
32166, Harvey Oak Supply Store
32176, The Willows Market and Pharmacy
32186, Adam Smith's house
32196, Yuriko Yamamoto's house
32137, Moore family's house
32147, Tamara Taylor and Carmen Ortiz's house
32157, Moreno family's house
32167, Lin family's house
32177, Dorm for Oak Hill College
