32138, Latoya Williams's room
32148, Latoya Williams's bathroom
32158, Rajiv Patel's room
32168, Rajiv Patel's bathroom
32178, Abigail Chen's room
32188, Abigail Chen's bathroom
32198, Francisco Lopez's room
32139, Francisco Lopez's bathroom
32149, Hailey Johnson's room
32159, Hailey Johnson's bathroom
32179, common room
32189, kitchen
32199, main room
32140, bathroom
32150, main room
32160, bathroom
32170, main room
32180, bathroom
32190, main room
32200, bathroom
32141, main room
32151, bathroom
32161, pub
32171, cafe
32181, classroom
32191, library
32201, hallway
32142, park
32152, supply store
32162, store
32193, main room
32203, bathroom
32174, main room
32184, bathroom
32194, main room
32204, bathroom
32172, Klaus Mueller's room
32182, Maria Lopez's room
32192, Ayesha Khan's room
32202, Wolfgang Schulz's room
32143, man's bathroom
32153, woman's bathroom
32163, common room
32173, kitchen
32183, garden
32205, Tamara Taylor's room
32215, Carmen Ortiz's room
32225, common room
32235, kitchen
32245, bathroom
32255, garden
32265, Tom and Jane Moreno's bedroom
32275, empty bedroom
32206, common room
32216, kitchen
32226, bathroom
32236, garden
32246, Mei and John Lin's bedroom
32256, Eddy Lin's bedroom
32266, common room
32276, kitchen
32207, bathroom
32217, garden
